row_num,id,data
0,9902615C,Beauty & Fitness/Face & Body Care/Skin & Nail Care/Face Care Products/Acne & Blemish Treatments_7
1,C7A3E1FB,Home & Garden/Kitchen & Dining/Cookware & Diningware/Cookware_6
2,EC2F009E,People & Society/Religion & Belief/Judaism_7
3,C80E1B6A,Home & Garden/Home Appliances/Vacuums & Floor Care_4
4,EAED1D4E,World Localities/North America/USA/South (USA)/North Carolina/Raleigh-Durham_5
5,08164AC6,Internet & Telecom/Web Services/Web Hosting & Domain Registration/Domain Registration_2
6,1D551A48,World Localities/Europe/Central & Eastern Europe/Austria_8
7,5F0241FF,World Localities/Europe/Central & Eastern Europe/Germany/Brandenburg_4
8,C3E1E563,Food & Drink/Cooking & Recipes/Cuisines/Latin American Cuisine/Mexican Cuisine_2
9,90717086,Food & Drink/Food_2
10,8A948463,World Localities/Europe/Western Europe/France/North France/Hauts-de-France/Nord-Pas-de-Calais/Lille_8
11,1B21C142,Law & Government_5
12,84ECB799,Food & Drink/Food/Dairy & Eggs_6
13,8761924B,People & Society/Religion & Belief/Islam_3
14,7BEF6F16,World Localities/Asia/Southeast Asia/Indonesia/Sulawesi_1
15,12054C6C,World Localities/Europe/Western Europe/France/South East France/Auvergne-Rhône-Alpes/Rhône-Alpes_8
16,051D3DC5,World Localities/Asia/East Asia_5
17,911CA108,Online Communities/Social Networks_6
18,70DDD09D,Computers & Electronics/Software/Operating Systems/Mac OS_1
19,312573A4,World Localities/Asia/West Asia/Turkey/Mediterranean Turkey/Mersin_2
20,4AA54582,World Localities/Asia/Southeast Asia/Viet Nam/Ho Chi Minh City_8
21,A26F8F6C,Travel & Transportation/Tourist Destinations/Vineyards & Wine Tourism_5
22,70E0C4AF,Real Estate/Real Estate Listings/Commercial Properties_5
23,9F63D5B9,World Localities/Asia/Southeast Asia/Philippines_5
24,2C1D9E6E,Business & Industrial/Shipping & Logistics/Moving & Relocation_8
25,561B4FB5,World Localities/Asia/East Asia/Japan/Tohoku/Iwate_8
26,C7108F40,World Localities/North America/USA/Midwest (USA)/Illinois/Chicago_5
27,DBF4B87C,Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys_2
28,5C4E4C5E,News/Business News/Financial Markets News_2
